CustomerID,FirstName,LastName,MembershipTier,SignupDate,State
190,Ashley,Rodriguez,Plus,2023-05-03,AZ
191,Robert,Jones,Business,2022-09-27,NE
192,Michael,Williams,Club,2023-05-25,FL
193,Michael,Williams,Plus,2022-09-07,TN
194,Nicole,Smith,Club,2024-09-13,NM
195,Kevin,Taylor,Club,2021-05-27,AZ
196,Robert,Martinez,Plus,2020-09-26,LA
197,Melissa,Johnson,Plus,2024-09-10,AZ
198,Brian,Jones,Club,2025-09-12,NM
199,Maria,Anderson,Club,2023-11-28,KS
200,Rachel,Martinez,Plus,2023-12-25,AL
201,Melissa,Davis,Club,2021-08-16,NY
202,Nicole,Thomas,Club,2021-03-05,NE
203,Justin,Anderson,Business,2023-04-14,NV
204,Michael,Rodriguez,Club,2025-10-12,NY
205,Melissa,Brown,Plus,2023-03-01,PA
206,Ashley,Williams,Plus,2020-05-25,MO
207,Justin,Jones,Plus,2024-01-15,AR
208,Jason,Lopez,Business,2021-06-28,TN
209,Brian,Lopez,Club,2019-08-07,AR
210,Jennifer,Smith,Club,2023-03-16,LA
211,Michael,Jones,Club,2022-10-05,NY
212,Amanda,Thomas,Plus,2020-07-22,AR
213,Carlos,Miller,Plus,2019-03-19,NJ
214,Justin,Anderson,Club,2025-10-29,NE
215,Ashley,Brown,Club,2021-08-31,TN
216,Jason,Williams,Club,2025-12-26,NY
217,Melissa,Smith,Plus,2025-09-10,MA
218,Michael,Martinez,Club,2021-09-17,GA
219,Ryan,Anderson,Club,2021-09-12,AR
220,Nicole,Williams,Business,2024-11-14,NJ
221,Justin,Smith,Club,2024-09-09,NY
222,Brian,Lopez,Club,2019-06-28,OK
223,Robert,Lopez,Club,2023-01-02,LA
224,Kevin,Jones,Club,2025-07-11,NJ
225,Patricia,Thomas,Business,2022-10-18,NY
226,Patricia,Jones,Club,2026-01-31,AL
227,Ashley,Miller,Club,2019-06-01,NV
228,Kevin,Martinez,Club,2019-06-21,NJ
229,Carlos,Johnson,Plus,2024-04-23,NV
230,Nicole,Johnson,Plus,2022-03-17,IA
231,Linda,Lopez,Club,2022-01-24,FL
232,Brian,Hernandez,Business,2023-12-07,NY
233,Nicole,Rodriguez,Plus,2024-07-30,TN
234,Stephanie,Garcia,Club,2019-11-20,IA
235,Robert,Hernandez,Plus,2020-02-25,NE
236,Rachel,Anderson,Club,2024-01-01,AL
237,Jason,Johnson,Plus,2022-12-10,GA
238,Stephanie,Rodriguez,Plus,2025-11-23,TX
239,Brian,Lopez,Club,2019-11-04,NM
240,Michael,Thomas,Club,2019-05-08,AR
241,Nicole,Lopez,Club,2021-08-24,MA
242,Rachel,Jones,Plus,2019-05-13,GA
243,Jason,Williams,Plus,2023-03-04,PA
244,Brian,Hernandez,Plus,2023-02-12,KS
245,James,Garcia,Club,2020-04-09,FL
246,Linda,Rodriguez,Plus,2025-04-19,AL
247,Rachel,Martinez,Plus,2021-05-28,NY
248,Linda,Jones,Plus,2021-03-30,AL
249,Jason,Williams,Plus,2020-12-08,IA
250,Robert,Martinez,Plus,2022-11-24,NM
251,Nicole,Davis,Club,2020-12-14,NV
252,Jennifer,Taylor,Club,2020-07-22,NJ
253,Nicole,Thomas,Plus,2025-06-02,NJ
254,Rachel,Williams,Club,2020-06-15,FL
255,Justin,Anderson,Plus,2024-05-14,MA
256,Michael,Hernandez,Plus,2019-10-30,AL
257,Justin,Lopez,Club,2024-03-23,NJ
258,Patricia,Jones,Club,2025-08-04,TX
259,Justin,Jones,Club,2020-05-23,NM
260,Jennifer,Lopez,Business,2022-08-14,PA
261,Robert,Rodriguez,Club,2022-03-09,NJ
262,Michael,Martinez,Plus,2022-01-29,AR
263,Patricia,Jones,Club,2024-08-20,IA
264,Maria,Smith,Club,2025-04-27,MA
265,David,Anderson,Plus,2021-12-20,OK
266,Melissa,Martinez,Plus,2024-08-01,NE
267,Jennifer,Wilson,Club,2024-06-01,AR
268,Patricia,Thomas,Club,2019-09-03,AL
269,Kevin,Jones,Club,2021-04-15,IA
270,Brian,Jones,Plus,2022-11-15,PA
271,Linda,Hernandez,Club,2025-04-19,LA
272,Jason,Davis,Club,2021-12-31,TX
273,Brian,Anderson,Club,2022-04-03,NM
274,Ryan,Hernandez,Club,2022-09-03,NM
275,Justin,Thomas,Club,2024-08-02,NE
276,James,Williams,Business,2024-07-30,PA
277,Jennifer,Miller,Plus,2024-02-16,TX
278,Ashley,Taylor,Plus,2019-07-27,NY
279,Melissa,Smith,Plus,2022-03-16,TN
280,Carlos,Lopez,Plus,2020-07-02,GA
281,Brian,Johnson,Plus,2019-07-05,NV
282,Melissa,Martinez,Club,2023-01-24,PA
283,Melissa,Rodriguez,Plus,2024-01-19,LA
284,Linda,Wilson,Club,2020-06-11,IA
285,Nicole,Jones,Club,2025-04-03,PA
286,Justin,Johnson,Club,2023-07-03,AZ
287,Amanda,Thomas,Club,2022-09-26,PA
288,Kevin,Hernandez,Club,2020-07-26,NE
289,Kevin,Taylor,Plus,2025-08-28,NE
290,James,Lopez,Club,2024-04-29,LA
291,Ryan,Martinez,Plus,2023-09-03,OK
292,Amanda,Rodriguez,Business,2025-09-10,MA
293,Jennifer,Johnson,Plus,2025-06-23,NM
294,Rachel,Wilson,Club,2024-11-17,KS
295,Ryan,Brown,Club,2019-05-10,AL
296,Stephanie,Jones,Club,2022-07-08,NV
297,Justin,Taylor,Plus,2023-08-08,TX
298,Justin,Miller,Plus,2020-07-19,NY
299,Brian,Hernandez,Business,2024-11-22,AL
300,Kevin,Lopez,Plus,2024-12-23,MO
301,Amanda,Miller,Business,2025-11-03,MO
302,Ashley,Davis,Business,2025-04-04,NE
303,David,Taylor,Club,2022-03-29,GA
304,Carlos,Martinez,Club,2025-04-14,NJ
305,Brian,Lopez,Business,2023-04-05,AZ
306,Maria,Martinez,Business,2022-04-04,AR
307,Jason,Rodriguez,Plus,2022-11-19,NV
308,Melissa,Rodriguez,Business,2021-04-07,MO
309,Linda,Davis,Club,2020-07-16,PA
310,Jennifer,Johnson,Club,2021-07-13,IA
311,Linda,Jones,Club,2024-04-18,NJ
312,Stephanie,Taylor,Club,2020-10-08,NV
313,Kevin,Martinez,Plus,2022-03-22,AR
314,Jennifer,Johnson,Business,2025-06-09,NM
315,Patricia,Johnson,Business,2023-09-08,FL
316,Patricia,Martinez,Plus,2024-07-22,OK
317,Ryan,Brown,Business,2022-05-07,IA
318,Jason,Taylor,Plus,2022-03-11,AZ
319,Jason,Rodriguez,Club,2024-08-27,LA
320,Patricia,Thomas,Plus,2022-09-16,NM
321,Kevin,Martinez,Plus,2019-02-27,NV
322,Rachel,Wilson,Plus,2020-12-19,PA
323,Robert,Wilson,Plus,2022-09-05,NM
324,Amanda,Hernandez,Business,2020-07-29,OK
325,Brian,Davis,Club,2021-12-04,MO
326,Ashley,Smith,Club,2022-09-12,GA
327,Maria,Brown,Club,2021-08-25,NM
328,Justin,Martinez,Plus,2023-07-19,NE
329,Rachel,Davis,Club,2023-02-14,AZ
330,Michael,Thomas,Plus,2024-05-12,GA
331,Melissa,Taylor,Plus,2023-08-31,NV
332,Rachel,Williams,Club,2021-10-10,PA
333,Robert,Brown,Club,2023-01-21,NJ
334,David,Jones,Club,2024-09-01,PA
335,Linda,Miller,Plus,2023-12-15,NY
336,Justin,Thomas,Plus,2020-01-08,AL
337,Justin,Anderson,Club,2020-06-24,TX
338,Jason,Martinez,Plus,2025-04-07,FL
339,James,Miller,Plus,2021-11-08,TX
340,Nicole,Williams,Club,2023-10-02,TX
341,Amanda,Johnson,Club,2019-10-10,NM
342,Stephanie,Lopez,Business,2020-07-08,FL
343,Brian,Wilson,Club,2024-01-12,NJ
344,Nicole,Brown,Club,2020-06-28,NJ
345,Justin,Jones,Plus,2023-05-29,KS
346,James,Martinez,Club,2019-01-15,NJ
347,Melissa,Wilson,Plus,2023-10-04,KS
348,Nicole,Jones,Club,2024-03-01,LA
349,Stephanie,Smith,Club,2019-05-12,AR
350,Rachel,Johnson,Club,2020-02-18,TX
351,Maria,Wilson,Club,2021-09-29,NJ
352,Maria,Jones,Club,2021-06-08,NE
353,Ryan,Hernandez,Plus,2021-08-17,IA
354,Ashley,Jones,Business,2021-08-28,PA
355,Stephanie,Martinez,Club,2021-06-24,NJ
356,Patricia,Anderson,Plus,2025-08-20,TX
357,Brian,Hernandez,Plus,2022-11-11,TN
358,Ashley,Wilson,Club,2020-09-03,NJ
359,Jennifer,Davis,Club,2024-04-23,AZ
360,Maria,Anderson,Business,2024-03-11,NJ
361,Michael,Wilson,Club,2024-12-10,NV
362,Robert,Thomas,Plus,2022-09-14,AR
363,David,Johnson,Club,2025-01-02,TX
364,David,Miller,Club,2019-10-26,IA
365,James,Miller,Business,2022-05-26,LA
366,Jennifer,Miller,Club,2024-05-15,KS
367,Kevin,Martinez,Club,2025-03-11,NJ
368,Ashley,Rodriguez,Club,2023-01-11,NY
369,Linda,Taylor,Plus,2024-03-23,IA
370,Nicole,Hernandez,Club,2021-04-12,MA
371,Michael,Smith,Club,2021-06-25,MA
372,Stephanie,Martinez,Club,2025-06-30,IA
373,Brian,Davis,Club,2021-07-31,IA
374,Amanda,Taylor,Club,2021-11-20,GA
375,Michael,Taylor,Club,2020-11-24,NJ
376,Justin,Johnson,Plus,2019-08-29,AR
377,James,Anderson,Club,2019-07-18,KS
378,Michael,Smith,Club,2019-10-06,AL
379,Maria,Taylor,Plus,2023-03-09,OK
380,Melissa,Anderson,Club,2019-01-28,PA
381,Melissa,Martinez,Club,2022-01-30,TN
382,Linda,Brown,Club,2021-01-04,KS
383,Rachel,Rodriguez,Plus,2021-02-25,MO
384,Robert,Lopez,Business,2023-06-14,AL
385,Jennifer,Davis,Club,2025-05-03,AR
386,Robert,Wilson,Club,2019-05-10,NJ
387,Maria,Smith,Plus,2024-05-03,AR
388,Stephanie,Hernandez,Plus,2024-08-09,LA
389,Maria,Davis,Club,2024-12-03,MA
390,Carlos,Johnson,Business,2024-05-01,MO
391,Ryan,Johnson,Club,2025-02-02,IA
392,David,Jones,Plus,2019-03-06,FL
393,Ashley,Garcia,Plus,2019-11-12,MA
394,Melissa,Hernandez,Club,2023-05-13,AZ
395,Justin,Lopez,Club,2019-11-18,TN
396,Robert,Hernandez,Plus,2021-08-08,FL
397,James,Rodriguez,Plus,2022-08-29,AL
398,Jennifer,Lopez,Plus,2024-07-02,FL
399,Patricia,Wilson,Club,2023-11-04,NE
400,Robert,Williams,Club,2021-10-06,FL
401,Michael,Wilson,Club,2026-02-09,LA
402,James,Martinez,Club,2020-01-10,MO
403,Michael,Williams,Club,2020-02-23,AL
404,Melissa,Anderson,Club,2025-03-31,AR
405,Melissa,Williams,Plus,2022-12-20,IA
406,James,Martinez,Club,2023-04-27,AR
407,Jennifer,Garcia,Plus,2025-04-10,NM
408,Carlos,Martinez,Club,2020-07-22,AZ
409,Patricia,Anderson,Club,2019-09-17,NE
410,Robert,Lopez,Club,2024-06-06,KS
411,Amanda,Miller,Club,2026-01-04,AZ
412,James,Wilson,Club,2022-06-01,FL
413,Jason,Hernandez,Club,2022-09-11,AZ
414,Kevin,Miller,Club,2022-05-15,NM
415,Kevin,Martinez,Plus,2023-06-20,NY
416,Jennifer,Hernandez,Club,2025-06-16,FL
417,Linda,Miller,Plus,2023-02-04,NJ
418,Melissa,Smith,Business,2021-01-06,AL
419,Jason,Martinez,Plus,2021-05-08,AR
420,Amanda,Jones,Plus,2023-08-03,KS
421,Michael,Anderson,Plus,2021-10-31,AR
422,Rachel,Taylor,Plus,2024-01-14,NJ
423,Stephanie,Johnson,Plus,2024-09-06,GA
424,Rachel,Williams,Club,2025-01-08,KS
425,Patricia,Johnson,Plus,2022-12-25,FL
426,Stephanie,Brown,Club,2022-09-20,MO
427,Justin,Davis,Club,2021-06-28,FL
428,Ryan,Jones,Club,2024-03-11,OK
429,Linda,Martinez,Club,2024-05-31,AR
430,Michael,Lopez,Club,2020-04-20,AL
431,Justin,Taylor,Club,2021-04-27,LA
432,Jason,Hernandez,Club,2023-11-30,TX
433,James,Hernandez,Plus,2020-04-16,NM
434,Justin,Garcia,Plus,2021-09-26,IA
435,Stephanie,Thomas,Club,2025-04-12,FL
436,Patricia,Garcia,Plus,2026-01-23,TN
437,James,Miller,Club,2023-06-09,TN
438,James,Miller,Club,2023-05-12,AR
439,Linda,Garcia,Club,2025-06-22,NV
440,Linda,Rodriguez,Plus,2024-02-18,NY
441,Kevin,Wilson,Plus,2024-12-01,MA
442,Nicole,Lopez,Plus,2020-04-12,NM
443,Rachel,Williams,Plus,2022-05-03,IA
444,Jennifer,Martinez,Club,2020-04-27,GA
445,Justin,Wilson,Club,2020-08-02,AZ
446,Brian,Anderson,Club,2025-06-12,NJ
447,Melissa,Garcia,Club,2020-12-10,AZ
448,Kevin,Thomas,Plus,2021-02-05,GA
449,Amanda,Jones,Club,2019-02-09,FL
450,Justin,Taylor,Club,2025-04-19,NY
451,Jason,Taylor,Club,2023-08-30,MA
452,Jennifer,Martinez,Club,2019-05-07,KS
453,Ashley,Garcia,Plus,2025-01-11,MA
454,Melissa,Brown,Plus,2024-07-21,MO
455,Nicole,Johnson,Plus,2025-02-02,AL
456,David,Anderson,Club,2025-02-15,KS
457,Maria,Thomas,Club,2022-05-04,AR
458,Linda,Davis,Club,2023-12-04,MA
459,Rachel,Anderson,Club,2022-12-07,AZ
460,David,Johnson,Plus,2021-04-26,NJ
461,Rachel,Garcia,Club,2022-02-25,NE
462,Ryan,Rodriguez,Business,2022-03-31,PA
463,Michael,Anderson,Business,2020-01-26,MO
464,Michael,Davis,Club,2020-06-03,IA
465,Brian,Taylor,Club,2021-10-10,MO
466,Stephanie,Wilson,Club,2026-01-15,AR
467,Justin,Rodriguez,Plus,2023-07-09,GA
468,Amanda,Hernandez,Plus,2024-02-06,AR
469,Nicole,Williams,Plus,2024-02-21,FL
470,Stephanie,Miller,Club,2021-06-11,IA
471,Kevin,Jones,Plus,2022-03-07,NY
472,Maria,Johnson,Club,2022-11-08,AL
473,Linda,Garcia,Club,2019-03-08,OK
474,David,Jones,Plus,2023-10-19,NE
475,Carlos,Williams,Plus,2020-10-13,MO
476,Nicole,Garcia,Club,2019-12-04,NE
477,Stephanie,Williams,Plus,2021-08-17,OK
478,Amanda,Williams,Club,2021-05-24,KS
479,Jason,Smith,Club,2024-10-28,IA
480,Stephanie,Jones,Club,2020-05-08,KS
481,Robert,Brown,Club,2023-04-19,GA
482,Michael,Wilson,Plus,2022-05-10,AZ
483,Robert,Smith,Plus,2020-08-08,NM
484,Nicole,Miller,Plus,2023-12-08,AZ
485,Rachel,Thomas,Plus,2023-08-14,AR
486,Michael,Brown,Plus,2020-02-16,FL
487,Stephanie,Hernandez,Plus,2022-12-10,KS
488,Robert,Davis,Plus,2022-02-08,NE
489,Ashley,Miller,Club,2019-04-20,PA
490,Brian,Martinez,Plus,2021-02-11,KS
491,Brian,Brown,Club,2024-07-20,AR
492,James,Lopez,Business,2024-12-03,AZ
493,Ryan,Anderson,Club,2023-05-04,NM
494,Robert,Smith,Plus,2024-04-13,OK
495,David,Johnson,Business,2021-12-09,FL
496,Ashley,Anderson,Club,2024-09-06,FL
497,Melissa,Jones,Club,2019-12-04,NE
498,Justin,Miller,Business,2019-11-20,AZ
499,Kevin,Wilson,Plus,2025-01-06,AR
500,Stephanie,Davis,Club,2022-06-24,AR
501,Linda,Thomas,Plus,2023-11-15,TX
502,Patricia,Brown,Club,2022-06-20,AZ
503,Patricia,Taylor,Business,2019-02-16,PA
504,Carlos,Garcia,Club,2024-10-19,MO
505,James,Hernandez,Plus,2020-04-28,MO
506,Robert,Rodriguez,Plus,2024-11-15,MA
507,Robert,Taylor,Club,2026-01-14,GA
508,Amanda,Garcia,Club,2019-08-16,MO
509,Ryan,Brown,Club,2020-02-26,PA
510,Maria,Smith,Club,2019-01-11,NY
511,Brian,Jones,Club,2023-01-30,TX
512,Stephanie,Davis,Club,2025-03-14,TN
513,Carlos,Williams,Plus,2022-08-03,LA
514,Maria,Garcia,Club,2024-08-18,PA
515,Brian,Williams,Plus,2019-07-08,NE
516,Kevin,Williams,Plus,2022-06-26,OK
517,David,Martinez,Plus,2023-02-20,NE
518,Jennifer,Thomas,Club,2025-12-25,NY
519,Melissa,Davis,Club,2021-03-11,TN
520,Jennifer,Lopez,Plus,2019-04-08,OK
521,James,Wilson,Plus,2022-10-04,NE
522,David,Davis,Club,2020-03-01,TX
523,Carlos,Williams,Club,2020-08-06,KS
524,Stephanie,Lopez,Club,2024-10-29,AR
525,Linda,Jones,Plus,2025-07-06,FL
526,Ryan,Johnson,Club,2019-11-03,AZ
527,Ashley,Rodriguez,Plus,2021-08-27,FL
528,Kevin,Thomas,Club,2022-08-29,AR
529,Michael,Brown,Club,2021-04-10,NM
530,Jason,Hernandez,Club,2024-01-16,NJ
531,David,Thomas,Club,2023-01-07,MO
532,Robert,Garcia,Plus,2020-05-06,NE
533,Maria,Miller,Plus,2025-10-07,IA
534,Robert,Davis,Business,2020-08-30,FL
535,Maria,Martinez,Club,2024-10-04,NM
536,Brian,Thomas,Plus,2019-05-08,NJ
537,Linda,Thomas,Club,2021-10-20,AZ
538,James,Johnson,Plus,2020-05-12,KS
539,David,Wilson,Club,2020-06-19,AR
540,Ryan,Rodriguez,Business,2025-07-13,AR
541,Robert,Miller,Business,2019-03-31,AL
542,Robert,Hernandez,Club,2020-06-11,AL
543,Patricia,Anderson,Plus,2019-07-27,FL
544,James,Wilson,Plus,2024-07-25,NM
545,David,Garcia,Club,2022-12-20,AL
546,Maria,Davis,Plus,2020-08-31,NY
547,Melissa,Taylor,Club,2023-08-15,MO
548,Michael,Anderson,Club,2023-04-18,PA
549,Melissa,Smith,Business,2021-10-17,GA
550,Melissa,Taylor,Club,2024-05-18,MA
551,Kevin,Wilson,Club,2024-08-19,OK
552,Rachel,Davis,Club,2022-07-30,MO
553,Amanda,Lopez,Plus,2019-08-28,KS
554,Linda,Davis,Plus,2020-10-15,MO
555,Maria,Davis,Plus,2024-12-25,FL
556,Patricia,Garcia,Club,2022-12-24,IA
557,Ryan,Smith,Plus,2023-01-09,GA
558,Ryan,Jones,Plus,2025-05-14,NV
559,Melissa,Martinez,Club,2024-07-09,TX
560,Maria,Davis,Plus,2020-01-05,OK
561,Amanda,Smith,Club,2024-11-26,NV
562,Kevin,Garcia,Business,2020-06-18,IA
